Scalabium SMExport demo: TStringGrid to CSV file

Random2025	Random5008	Random2878	Random6729	Random6637
Random2729	Random216	Random936	Random2274	Random1582
Random6716	Random5929	Random6289	Random5703	Random2300
Random3186	Random96	Random2800	Random2544	Random9465
Random1617	Random7744	Random8771	Random3658	Random3649
Random3722	Random6506	Random1612	Random8370	Random1267
Random4256	Random7704	Random2731	Random3145	Random9869
Random820	Random7081	Random5436	Random3148	Random3062
Random4747	Random5575	Random9607	Random6564	Random544
Random705	Random2060	Random1743	Random6922	Random1019
Random8408	Random6810	Random1570	Random9029	Random8666
Random597	Random5928	Random2681	Random3186	Random5544
Random2932	Random9554	Random1774	Random4786	Random6971
Random9172	Random6440	Random5767	Random2964	Random1006
Random3679	Random9983	Random4981	Random7667	Random6688
Random7746	Random2437	Random2851	Random7405	Random165
Random3279	Random6761	Random1559	Random5519	Random3098
Random6976	Random2956	Random6097	Random7235	Random9042
Random8441	Random858	Random7396	Random4116	Random5352
Random7179	Random7723	Random7464	Random5420	Random3270
Random3066	Random4952	Random803	Random5958	Random4424
Random1626	Random8816	Random763	Random8805	Random9006
Random3294	Random5099	Random597	Random6689	Random3471
Random4660	Random5733	Random1065	Random1123	Random3537
Random2466	Random9531	Random7955	Random4717	Random4878
Random8256	Random6848	Random8058	Random4036	Random715
Random2790	Random3387	Random3816	Random1147	Random8508
Random4817	Random76	Random6120	Random538	Random7603
Random1491	Random7053	Random4368	Random5486	Random1803
Random8743	Random9889	Random7408	Random6734	Random9228
Random2872	Random7740	Random4939	Random807	Random4935
Random7727	Random7495	Random3412	Random9217	Random1275
Random9764	Random1977	Random8188	Random8387	Random8923
Random4925	Random1436	Random8170	Random6814	Random4032
Random8879	Random9135	Random1413	Random9270	Random2075
Random8272	Random7841	Random934	Random2772	Random8071
Random202	Random5892	Random671	Random7008	Random5874
Random1410	Random8647	Random602	Random7344	Random1098

Generated by SMExport suite: http://www.scalabium.com
